Título,Director,Integrantes,Estado,Tipo de proyecto,Descripción,Institución,Fecha de inicio,Fecha de finalización,Enlace,Código
Hecyra de Terencio: entre la sorpresa y la reinvención. Relectura y traducción anotada,"Suárez, Marcela",S/D,vigente,UBACYT,"El presente proyecto se propone llevar a cabo una relectura y una traducción de Hecyra que, sobre la base de los nuevos abordajes teóricos, implique un acercamiento a la obra desde distintos ejes de análisis (contexto sociohistórico, modo de funcionamiento del acontecimiento teatral, humor y formas de comicidad, entre otros) que permitan reubicarla en el corpus terenciano y en el conjunto de la comedia palliata como la comedia en la que Terencio juega con lo trillado a partir de la sorpresa y la reinvención.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100324BA
"Textos fundacionales, narrativas funcionales: Chile y Río de la Plata","Tieffemberg, Silvia ",S/D,vigente,UBACYT,"El proyecto estará articulado en dos etapas de diferente extensión: en primer lugar nos proponemos considerar, a partir del análisis contrastivo-comparativo de un conjunto de textos tempranos de las conquistas de Chile y Río de la Plata -escasamente estudiados por la crítica especializada-, las resultantes retórico-narrativas de la urgencia por descubrir yacimientos auríferos o ciudades imaginarias, tanto como de la necesidad de comprender/ dominar el nuevo territorio y los actores sociales intervinientes, dentro del horizonte de posibilidades que habilitaba el repertorio de conceptualizaciones clásicas y medievales, y las surgidas del mismo hecho colonial. En este sentido, tendremos en cuenta el surgimiento de un discurso fundacional bifronte en el que conviven la narración del hambre y la antropofagia con la prodigalidad de un espacio donde las amazonas toman sus alimentos en vajilla de oro. El corpus en esta primera etapa contemplará textos escritos en la primera mitad del siglo XVI de los actuales territorios de Chile y Río de la Plata: desde 1525, con los primeros relatos surgidos en torno a las expediciones de Solís y Gaboto, hasta 1558, cuando se escribe la primera crónica chilena que tiene como figura central a Pedro de Valdivia, período que coincide con la llegada de la expedición de Cabeza de Vaca y el descubrimiento de la inexistencia de tesoros en el Río de la Plata. Narrativas estas que podemos denominar fundacionales, que dieron cuenta de un espacio antes imaginado que conocido y generaron discursos funcionales, tanto para que la metrópolis convirtiera en objeto de deseo el lejano sur de las nuevas tierras y destinara recursos, como para que la propia hueste se cohesionara alrededor de las quimeras del oro o la fuente de la juventud eterna. Ahora bien, estas narrativas fundacionales fueron revisitadas en el siglo XX y generaron tanto en Chile como en Argentina, nuevos discursos, funcionales a otros contextos históricos. De manera que, en una segunda etapa el proyecto propone reflexionar sobre el modo en que los documentos coloniales estudiados en la primera etapa se resignificaron y refuncionalizaron, en un corpus de ensayos, textos de ficción, revistas y libretos de teatro lírico de Chile y Argentina, atendiendo al 'espíritu' que unía las conmemoraciones del IV Centenario del 'Descubrimiento de América' y las independencias de ambos países, y las fundaciones de Santiago y Buenos Aires.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2018,S/D,20020150100117BA
"Literatura, Estado y Nación: hacia un nuevo comparatismo hispánico","Topuzian, Marcelo","
Rigoni, Mirtha - Di Salvo, Lucía - Beviglia, Vanina - Girasole, María Belén - Tejero Yosovitch, Yael - Maradei, Guadalupe - Jersonsky, Eva - Muiños, Camila - Chalian, Marisol - Mosquera, Mariano - Ruiz López, Tomás - Minardi, Adriana - Minguzzi, Armando - Lamarca, Sofía - Brina, Maximiliano - Sólimo, Laura - Mendoza, Juan José- Buchbinder, Agustina - Samoilovich, Lara - López, Rodrigo - Salaverría, Leonor - Montes, Alicia",vigente,UBACYT,"En continuidad con proyectos anteriores, nos proponemos estudiar las relaciones entre literatura, Estado y política, en el marco de los debates contemporáneos acerca de la nación y en un corpus de autores y textos españoles y latinoamericanos. Tras estudiar los retos que la literatura mundial y los nuevos comparatismos oponen al paradigma de la historiografía de las literaturas nacionales, ahora revisaremos la participación de la literatura entre los dispositivos de gubernamentalidad estatal en formas que excederían el modelo proporcionado por las historias de formación de las culturas nacionales. Es nuestra hipótesis que una rehabilitación de la pregunta por excelencia de la teoría literaria acerca de la literatura podría desentramar los vínculos culturales rígidos entre literatura, Estado y nación, para evidenciar modos alternativos de legitimación de lo común. La 'capilaridad' de las intervenciones del Estado hace que la distinción misma de Estado y sociedad, de cuya contraposición rígida dependen gran parte de las definiciones sociológicas de la literatura, resulte conflictiva: el énfasis en 'lo social' de la literatura invisibiliza cómo ella se constituye también como una institución del Estado -y no solo como encarnación de una nación a partir de su caracterización en términos identitarios. Por otro lado, es necesario cuestionar la comprensión unívoca del rol de mediación cultural de la literatura a partir de la noción modernista de medio literario específico, dominado por el imaginario excluyente que opone la 'lengua nacional' a su negación-abstracción internacionalista y cosmopolita. De ser ciertas nuestras ideas acerca de la intervención de la literatura en la mediatización de las relaciones sociales, nos encontraríamos ante una propuesta superadora en los recientes debates acerca del comparatismo en literatura a partir de un análisis material de la medialidad literaria. Así, volvería a ser pertinente estudiar la literatura en su potencia de inmediatización, de generación de experiencias inmersivas de lectura y sustracción radical respecto de su constitución medial material. Esto permitirá desplegar una reflexión sobre una configuración posible de los mundos literarios ya no dependiente de una teoría general del medio ficcional y capaz de incorporar los cruces y mezclas impuestos por una concepción comparatista y trasnacional radical de la literatura y la lectura.","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires;",2018,2020,http://iflh.institutos.filo.uba.ar/proyecto/literatura-estado-y-naci%C3%B3n-hacia-un-nuevo-comparatismo-hisp%C3%A1nico,20020170100240BA
"El ensayo alemán durante el ""período artístico"" (Kunstperiode) y durante el nazismo: afinidades, correspondencias, controversias","Vedda, Miguel Ángel","Belforte, María - Burello, Marcelo - Castano, María Belén - Castel, María - Ferrari, Mariela - García Chicote, Francisco - Koval, Martín - Labado, Silvia - Marando, Guadalupe - Martedi, Olga - Pivetta, Carola - Ruiz, Esteban - Salinas, Martín - Setton, Roman - Sufotinski, Tomás",vigente,UBACYT,"La finalidad del proyecto es examinar la peculiaridad de la producción ensayística correspondiente 1) al período clásico y romántico de la literatura alemana, 2) a la época de la Segunda Guerra Mundial. Además de estudiar las líneas fundamentales de desarrollo del ensayo en las épocas indicadas, se tratará de establecer una comparación entre ambas; un punto central del análisis consistirá en examinar los modos en que los principales ensayistas de lengua alemana - en su mayoría, exiliados- procuraron apropiarse del legado literario del período clásico y romántico (o, eventualmente, revisarlo y cuestionarlo) en el contexto de un enfrentamiento con la política cultural del régimen nazi.","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires;",2018,2020,http://iflh.institutos.filo.uba.ar/proyecto/el-ensayo-alem%C3%A1n-durante-el-per%C3%ADodo-art%C3%ADstico-kunstperiode-y-durante-el-nazismo-afinidades,20020170100083BA
Contextos de performance en la Grecia Antigua: espacios de recuperación y retransmisión del pasado en la literatura griega desde la época Arcaica hasta la época Imperial.,"Torres, Daniel",S/D,vigente,UBACYT,"El presente proyecto se presenta como continuidad de la investigación iniciada en el PIP-CONICET: ?La configuración de la gramática escolar argentina (1863-1922)?, desarrollado hasta 2016, y aspira a avanzar en el trazado de una historia de la gramática escolar argentina desde la primera legislación existente (1863, decreto fundacional del Colegio Nacional de Buenos Aires) hasta la creación del Instituto de Filología de la Universidad de Buenos Aires (1922).El proyecto comprende dos etapas: en la primera, de base documental, pretendemos finalizar con la tarea iniciada en la investigación arriba mencionada con el fin de delimitar y establecer un corpus que incluya el conjunto de los textos gramaticales producidos en la Argentina durante el período considerado. Como resultado de esta etapa, aspiramos a elaborar un catálogo de las gramáticas escolares publicadas entre 1863 y 1922, que comprenda también la edición digital de las más representativas. Esta fase servirá como insumo de una segunda etapa, analítica e interpretativa, que buscará determinar de qué modo se ha configurado la reflexión gramatical en el ámbito escolar argentino.En el ámbito de la historiografía lingüística hispánica, existen numerosas investigaciones sobre la gramaticografía didáctica decimonónica. No obstante, la mayor parte de ellas se ha ocupado de abordar obras o autores particulares, mientras que todavía existen pocos estudios que aporten una perspectiva más amplia sobre un período determinado o sobre un conjunto específico de autores. Esta desatención redunda en un desconocimiento de numerosos aspectos de la historia gramatical y escolar argentina que podrían resultar determinantes para la comprensión global de muchos fenómenos actuales, tanto en el campo de la lingüística como en el de la didáctica de la lengua. Estudios recientes demuestran que las ideas gramaticales contenidas en los manuales escolares han producido importantes beneficios a la lingüística contemporánea; por ejemplo, el de servir de transmisoras de la ?alta? producción teórico-científica que se desarrolla en el seno de las diferentes corrientes lingüísticas.A partir de esta perspectiva, esperamos que nuestra investigación aporte a la recuperación documental de la tradición gramatical, contribuya a determinar el modo en que esta se interrelaciona con las teorías lingüísticas contemporáneas y se constituya en un aporte a la reflexión sobre las prácticas actuales de la enseñanza de la lengua.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100324BA
Los inicios de la gramática escolar en la Argentina (1863-1922),"Toscano y García, Guillermo",S/D,vigente,UBACYT,"El presente proyecto se presenta como continuidad de la investigación iniciada en el PIP-CONICET: ?La configuración de la gramática escolar argentina (1863-1922)?, desarrollado hasta 2016, y aspira a avanzar en el trazado de una historia de la gramática escolar argentina desde la primera legislación existente (1863, decreto fundacional del Colegio Nacional de Buenos Aires) hasta la creación del Instituto de Filología de la Universidad de Buenos Aires (1922).El proyecto comprende dos etapas: en la primera, de base documental, pretendemos finalizar con la tarea iniciada en la investigación arriba mencionada con el fin de delimitar y establecer un corpus que incluya el conjunto de los textos gramaticales producidos en la Argentina durante el período considerado. Como resultado de esta etapa, aspiramos a elaborar un catálogo de las gramáticas escolares publicadas entre 1863 y 1922, que comprenda también la edición digital de las más representativas. Esta fase servirá como insumo de una segunda etapa, analítica e interpretativa, que buscará determinar de qué modo se ha configurado la reflexión gramatical en el ámbito escolar argentino.En el ámbito de la historiografía lingüística hispánica, existen numerosas investigaciones sobre la gramaticografía didáctica decimonónica. No obstante, la mayor parte de ellas se ha ocupado de abordar obras o autores particulares, mientras que todavía existen pocos estudios que aporten una perspectiva más amplia sobre un período determinado o sobre un conjunto específico de autores. Esta desatención redunda en un desconocimiento de numerosos aspectos de la historia gramatical y escolar argentina que podrían resultar determinantes para la comprensión global de muchos fenómenos actuales, tanto en el campo de la lingüística como en el de la didáctica de la lengua. Estudios recientes demuestran que las ideas gramaticales contenidas en los manuales escolares han producido importantes beneficios a la lingüística contemporánea; por ejemplo, el de servir de transmisoras de la ?alta? producción teórico-científica que se desarrolla en el seno de las diferentes corrientes lingüísticas.A partir de esta perspectiva, esperamos que nuestra investigación aporte a la recuperación documental de la tradición gramatical, contribuya a determinar el modo en que esta se interrelaciona con las teorías lingüísticas contemporáneas y se constituya en un aporte a la reflexión sobre las prácticas actuales de la enseñanza de la lengua.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170200203BA
"Didáctica del latín, ayer y hoy: contextos, actores, métodos, materiales","Ventura, Mariana",S/D,vigente,UBACYT,"Proponemos una investigación sobre didáctica específica del latín, cuyo objetivo general consistirá en ampliar nuestros conocimientos acerca de los variados métodos de enseñanza empleados hasta el presente y en desarrollar criterios válidos tanto para seleccionar los más adecuados a distintos contextos de aplicación, como para diseñar nuevas estrategias didácticas. A fin de cumplir este objetivo general, abordaremos la cuestión desde un punto de vista histórico, comparando las condiciones en las que se enseñaba y aprendía latín en el pasado ?especialmente en la Antigüedad, pero también en la Edad Media y el Renacimiento? con las condiciones en las que se lo hace hoy en día en la Argentina y en otros lugares del mundo. El análisis se centrará en los diferentes contextos educativos de la práctica docente, en los actores intervinientes en el proceso de enseñanza-aprendizaje, en los métodos de enseñanza empleados y en los materiales didácticos correspondientes.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20020170100083BA
"El ciclo cervantino DE SENECTUTE: descentramientos estéticos, marginalidades, obras","Vila, Juan Diego Director","Vitali, Noelia - D'Onofrio, Julia - Cabado, Juan Manuel - Oyarzabal, Silvana - Medina Olaechea, María Eugenia - Furnier, Daniela - Durán, María Beatriz - Gerber, Clea - Burgos Acosta, Celia - Salmoiraghi, Paula - Parodi, Alicia",vigente,UBACYT,"La producción terminal de Cervantes, que provisionalmente proponemos llamar ""ciclo de senectute"", amerita un análisis sistémico desde una perspectiva que se enfoque en aquello que excede a las líneas de sentido dominante en la crítica canónica. Desde este planteo descubrimos un conjunto de obras en las cuales el escritor parece distanciarse de las fórmulas que le valieron el reconocimiento del público para adentrarse en una perspectiva reflexiva, a veces amarga y nunca autocomplaciente, en la cual las propias ideas del arte resultan sometidas a pruebas extremas, al tiempo que lo biográfico parece sentar baza en las nuevas exploraciones. Un particular interés parece signar la prolífica producción de los últimos años de Cervantes, de tal manera que cabe analizarlo desde la óptica del llamado ""estilo tardío"". El recorte propuesto para trabajar en este nuevo proyecto de grupo consolidado, es el corpus de las obras finales y menos estudiadas del corpus cervantino: el Viaje del Parnaso con su Adjunta, las Ocho comedias y ocho entremeses nuevos, nunca representados y el póstumo Los trabajos de Persiles y Sigismunda. El análisis de este ciclo de senectute permitiría redefinir también certezas generales que tutelan lo conocido, como sucede con el Quijote de 1615, cuyas paradojas e interrogantes tantas veces se subsumen bajo una simplificadora y conveniente fusión estética con la Primera parte de 1605. Este eje crítico supone, además, la validación tácita de la necesidad de repensar la diferencia de los principios constructivos puestos en juego en cada una de las obras estudiadas, antes que forzar síntesis conceptuales que suelen dejar de lado las particularidades de las producciones que resultan discordantes para una pretendida totalidad ejemplar que caracterizaría la ""obra de Cervantes"". En efecto, lo propio de las producciones tardías, que no últimas o simplemente finales o póstumas, se descubre en la exhibición de la voluntaria incapacidad de cohesionar toda la propia producción bajo un único baremo exegético. En lo tardío se juega una apuesta dialógica con la posteridad, ese tiempo que el propio artista intuye como una cita a la cual no concurrirá, pero a la que quiere legar una obra excepcional que lo trascienda.","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires;",2018,2020,http://iflh.institutos.filo.uba.ar/proyecto/el-ciclo-cervantino-de-senectute-descentramientos-est%C3%A9ticos-marginalidades-obras,20020170100427BA
Poéticas y estéticas en la literatura argentina a partir de la década del 70. Un abordaje desde la teoría y la crítica literaria,"Vitagliano, Miguel",S/D,vigente,UBACYT,"El proyecto se propone indagar las distintas concepciones que convergen en los modos de entender el objeto literatura en el campo cultural argentino, a partir de la década del 70. Examinar los diálogos, y sus consonancias y asonancias, que en el vasto conjunto de las producciones literarias -narrativa, poesía, ensayo-, podrían establecerse tanto en el registro de la estética como en el de las poéticas (Groys, 2014). La investigación parte de una hipótesis de base y es que a mediados de la década del 70 se habría comenzado a conformar un nuevo régimen de lengua que definiría los rumbos de la literatura argentina desde los 80. Ese nuevo régimen no conduciría a una sola poética o estética sino que, en tanto régimen (Rancière, 2011), permitiría posibilidades abiertas. La emergencia de ese nuevo régimen de la lengua se habría desarrollado en ese momento como contrapartida a los cambios discursivos operados por el terrorismo de estado, entendiendo para ello que es en la lengua donde el totalitarismo deja su primera marca (Faye, 1972, 2009). Ése es el eje que guiará la investigación y que permitirá arribar al reconocimiento de las distintas poéticas y estéticas que se fueron desarrollando en la literatura argentina. Este proyecto de investigación busca indagar, finalmente, el lugar que ocupa la literatura en la construcción de la vida social y la función de intervención que tiene la crítica literaria en la discusión de los valores y los sentidos de la escena nacional.",Facultad de Filosofía y Letras; Universidad de Buenos Aires;,2018,2020,S/D,20020150100139BA
Los Archivos de la Dirección General de Informaciones (DGI) de la Provincia de Santa Fe y de la Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPBA)&#8236;. Un estudio comparativo de dos comunidades discursivas.,"Vitale, Alejandra",S/D,vigente,UBACYT,"La Dirección General de Informaciones (DGI) de la provincia de Santa Fe fue creada en 1966 y cerrada en 1993. El acceso público a su Archivo se reglamentó recién en 2011, por lo que las investigaciones sobre este Archivo son muy escasas; por otra parte, no han sido aún emprendidas desde el análisis del discurso. La Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPBA) fue creada en 1956 y disuelta en 1998; en 2003, su Archivo se abrió a la consulta pública. El grupo que presenta este Proyecto fue el primero que realizó una inicial aproximación al Archivo DIPBA desde el análisis del discurso, en tanto comunidad discursiva. El Proyecto ?Los Archivos de la Dirección General de Informaciones (DGI) de la Provincia de Santa Fe y de la Dirección de Inteligencia de la Policía de la Provincia de Buenos Aires (DIPBA). Un estudio comparativo de dos comunidades discursivas? propone así un primer abordaje discursivo del Archivo de la DGI como comunidad discursiva y un primer estudio contrastivo desde este marco con el Archivo de la DIPBA, cuyo estudio plantea asimismo continuar. En efecto, los objetivos particulares de este Proyecto son los siguientes: a. Describir el ethos del grupo productor del Archivo de la DGI y de la DIPBA, incluyendo sus opiniones sobre el teatro, el cine, la literatura y su otro (contemplados los estudiantes y el Movimiento de Sacerdotes para el Tercer Mundo); b. Caracterizar los géneros discursivos empleados por el grupo productor del Archivo de la DGI y del Archivo de la DIPBA; c. Describir la memoria discursiva inherente a los discursos producidos por dichos grupos. d. Contrastar en los Archivos de la DGI y de la DIPBA, sobre la base de sus diferencias institucionales y de actuación geográfica, por un lado, y, en relación con los contextos sociohistóricos de democracia o dictadura, por otra parte, la construcción del ethos, sus opiniones sobre el teatro, el cine, la literatura y su otro (incluidos los estudiantes y el Movimiento de Sacerdotes para el Tercer Mundo), los géneros discursivos empleados y la memoria discursiva.",Facultad de Filosofía y Letras; Universidad de Buenos Aires;,2016,2018,S/D,20020150100238BA
"La violencia y sus manifestaciones contemporáneas. Nuevos enfoques teóricos, análisis críticos y representaciones artísticas","Zubieta, Ana",S/D,vigente,UBACYT,"Los impactos de la violencia no cesan: terrorismo, nuevas formas de ataque, migrantes desesperados, acorralados o muertos, que hacen de las fronteras lugares particularmente conflictivos. Sus manifestaciones son tales que estamos ante un fenómeno que, al atravesar estructuras, coyunturas y enclaves, atrajo sobre sí reflexiones teóricas que desde distintas perspectivas y ángulos y desde diversos sistemas de representación ?como la literatura, el cine o la pintura? lo abordaron, produciendo un caudal de conocimientos y enfoques de una dimensión que no hace sino confirmar su trascendencia histórica, cultural, política y antropológica. La presente investigación se propone revisar y actualizar las aproximaciones teóricas a los distintos tipos de violencia, excepcional o cotidiana, que se concreta en  crímenes pasionales o políticos, privados o del Estado, en la guerra, en los pasados traumáticos y en sus vestigios. A partir de dichas operaciones, se diseñará una constelación conceptual o un mapa que ponga en estrecha correlación los problemas y los modos que se han encontrado de abordarlos, dando cuenta de tradiciones interpretativas así como de nuevos enfoques, debates y perspectivas. Resulta central analizar los modos, motivos y tópicos a partir de los cuales la literatura y el cine imaginan, ficcionalizan y encarnan las subjetividades de la violencia ?las víctimas, los victimarios y los derrotados; los amigos y enemigos; el testigo, el monstruo y el criminal- y, en consecuencia, los cuerpos, el miedo y el dolor. Asimismo, es fundamental considerar la violencia en su vínculo con el espacio: configuraciones de la gran ciudad, los centros, las periferias, los barrios bajos, el suburbio, los barrios privados y las subjetividades ligadas al tráfico de la vida contemporánea en expresiones que dibujan nuevos territorios y paisajes. Finalmente, es ineludible, al trabajar con la violencia, el examen de los problemas de representación y los límites del relato: la decibilidad y el carácter de la experiencia, la narración del horror y las nuevas formas del castigo, el encierro y la muerte, que buscan modos de expresión en la novela, en la nueva crónica, en el género policial y en el cine.",Facultad de Filosofía y Letras; Universidad de Buenos Aires;,2018,2020,S/D,20020170100203BA
La imagen de la política y la política de la imagen: análisis de las transformaciones en los sistemas semióticos de lasprácticas políticas en la Argentina post 2001,"Zullo, Julia","Zukerfeld, Gilda Lucía - Testoni, Federico Edgardo - Martínez Romagosa, Maite - Hellín, Lucía - Raiter, Alejandro - Flax, Rocío - García, Paula Sylvina ",vigente,UBACYT,"Desde hace algunos años se han detectado y estudiado algunos cambios en el campo político, tanto en los modos de hacer política, en las estrategias y recursos de las campañas electorales como también en las representaciones que la ciudadanía tiene de los partidos, de la política y de sus funcionarios y militantes. Estos fenómenos han sido estudiados desde diversos enfoques y perspectivas (Mouffe, 2005; Rancière, 2001; Zizek, 2008; entre otros) aunque consideramos que aún falta encararlos desde el punto de vista de las prácticas discursivas (Fairclough, 1992) que directa o indirectamente sostienen el campo político. Por tal razón, nos proponemos abordar estos fenómenos que alcanzan formatos, soportes y contenidos en una multiplicidad de sistemas semióticos, desde dos dimensiones tomadas de Rosanvallon (2002): aquella que involucra el ejercicio del poder a través de las instituciones de gobierno y la dinámica de partidos, a la que llamaremos la política y aquella que corresponde a la acción comunitaria ?horizontal- a través del ejercicio de los derechos y la consecuente delimitación de identidades colectivas diferenciales a la que denominamos lo político. A partir de esta delimitación nos proponemos analizar diferentes materialidades semiótico-discursivas producidas en Argentina post 2001. Entendemos que tanto a nivel sincrónico como diacrónico vamos a registrar conflicto y cambio respectivamente tanto a nivel de los textos como de las prácticas discursivas y sociales (Fairclough, 2012). Nuestra metodología integra el análisis lingüístico a nivel de la cláusula para dar cuenta de los significados ideacionales e interpersonales (Hodge y Kress, 1993; van Leeuwen, 2008; Martin y White, 2005), con una perspectiva (inter)discursiva (Pêcheux, 1975) para recuperar constantes de otras formaciones discursivas y sus relaciones de subordinación o dominio (Orlandi, 2005). A esto sumamos la teoría multimodal (Kress y van Leeuwen,2001) para explicar el funcionamiento de otros sistemas semióticos. Así, nos proponemos describir qué imágenes de la política y de lo político conviven en diferentes discursos sociales (desde el mensaje partidario de un spot de campaña hasta la opinión de un ex delegado sindical; desde la página web de una institución pública hasta el capítulo de un libro de texto para escuela media, etc.) y caracterizar los cambios que han sufrido a nivel del texto y de las prácticas discursivas y sociales que los hacen posibles.",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires;,2018,2020,http://il.institutos.filo.uba.ar/proyecto/la-imagen-de-la-pol%C3%ADtica-y-la-pol%C3%ADtica-de-la-imagen-an%C3%A1lisis-de-las-transformaciones-en-los,20020170100336BA
El derecho a la palabra: perspectiva glotopolítica de las desigualdades/diferencias,"Elvira de Arnoux, Elvira Beatriz","Sartori, María Florencia - Arrossi, Fabia Alejandra - Scherlis Perel, Gabriela Yael -  Ardini, Claudia Gabriela - Niklison, Lucía María - Lauria, Daniela - Gattari, María Eugenia - Maizels, Ana Laura - Bien, Roberto - Savio, Ana Karina - Zaccari, Verónica - Bengochea, Natalia Inés - Vilar, Milagros - Blanco, Gonzalo - Aprea, Gustavo - Soto, María Araceli - Corrarello, Ana María - Etkin, Sergio - Nothstein, Susana Beatriz - Pereira Paola - Zerillo, Amelia María - Schmidt, Ricardo - Carbonetti, Mariángeles - Giudice, Jacqueline Viviana - Valente, Elena Amable - Di Stefano, Mariana -  Cardelli, Marina - Padlubne, Rubén Mario - Bouzas, Patricia - Pereira, María Cecilia - Speranza, Adriana Albina María - Baretta, Mónica",vigente,UBACYT,"Las reflexiones glotopolíticas contemporáneas se interesan tanto por la dimensión política de las intervenciones sobre los lenguajes como por la dimensión semiótica de las transformaciones sociales. Atienden a las políticas lingüísticas
y a las que controlan la discursividad en sus diversas manifestaciones analizando tanto instrumentos normativos y regularidades de las prácticas como la relación que tienen con la reproducción del orden social y la construcción de las subjetividades que cada etapa y sector social demandan. En ese marco, que requiere una perspectiva interdisciplinaria, el proyecto se propone indagar, en primer lugar, los dispositivos normativos actuales reguladores de la discursividad, vinculados con la incidencia de la nueva economía en el área de servicios, el desarrollo de las plataformas digitales y las redes sociales, la centralización y homogeneidad del discurso científico. Así, se analizarán formas de control de interacciones con clientes y usuarios, manifestaciones del ""discurso experto"" en prácticas políticas, dispositivos normativos de las nuevas tecnologías, reglas para las comunicaciones del Estado con la ciudadanía y normativas de las revistas científicas. En segundo lugar, las investigaciones apuntarán a evaluar las desigualdades/diferencias que exponen en el dominio de la cultura escrita, visual y audiovisual distintos grupos sociales. Se considerarán, entonces, representaciones, desempeños y problemáticas de jóvenes ingresantes a los estudios superiores y que se inician en la vida profesional, jóvenes en situación de calle y de encierro, y jóvenes transexuales que participan de proyectos educativos para el cuidado de la salud y el respeto a la diversidad de género. Asimismo, en relación con la ""cultura villera"" se estudiarán prácticas semióticas institucionalizadas a través de organismos propios y los proyectos de educación por el arte encarados en ámbitos con población en situación de riesgo. Finalmente, se atenderá a políticas estatales y mediáticas respecto de minorías lingüísticas para lo cual se analizará en la legislación vigente cómo contribuye a favorecerlas o a discriminarlas, se estudiarán en CABA las razones objetivas y subjetivas de la conservación o abandono de las lenguas propias y se desarrollará un cuestionario sobre lenguas para incorporarlo a la cédula censal nacional. Además se abordará el tratamiento mediático de las minorías en el país atendiendo a la construcción del indígena como un 'enemigo interno'.

",Instituto de Lingüística; Facultad de Filosofía y Letras; Universidad de Buenos Aires,2018,2020,S/D,20620170100008BA
"Habilidades morfológicas, sintácticas y pragmáticas en la comprensión lectora. Evidencia psicolingüística y neurofisiológica","Jaichenco, Virginia Irene",S/D,vigente,UBACYT,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2019,S/D,20020160100123BA
Categorías funcionales en variedades del español de la Argentina,"Kornfeld, Laura Malena","Avellana, Alicia
Bohrn, Andrea 
Brandani, Lucía 
De Los Ríos, Marisol
Ghioni, María Carla
Maldonado, Ángel
Murujosa, Marisol
Primucci, Ana
Resnik, Gabriela
Trebisacce, Romina
Zdrojewski, Pablo 
",vigente,UBACYT,"El presente proyecto se propone contribuir desde la perspectiva generativa a la descripción gramatical de distintas variedades regionales, sociales y estilísticas del español de la Argentina, incluyendo las de contacto con lenguas indígenas. Esa contribución se centrará en la caracterización gramatical de las categorías funcionales en esas variedades y el estudio detallado de los procesos de gramaticalización. La investigación planteada resulta relevante desde el punto de vista teórico, ya que permitirá participar de la discusión sobre el funcionamiento de las categorías funcionales, que constituye un área de interés central para la gramática generativa desde los años 90, ya que se vincula con el conocimiento de los fenómenos de variación y adquisición. Además, los procesos de gramaticalización, que amplían el repertorio de categorías, valores e ítems funcionales, aportan a la explicación de la variación sincrónica y del cambio lingüístico diacrónico. A partir del estudio de las categorías funcionales y los procesos de gramaticalización, el proyecto aspira a establecer las bases de una comparación microparamétrica, y, a su vez, poner a prueba un conjunto de generalizaciones teóricas sobre los fenómenos de contacto lingüístico. Con ello se aspira a llegar a conclusiones que permitan contribuir a una teoría general de la variación y, secundariamente, la adquisición. Como objetivos complementarios, la investigación se propone analizar las representaciones sociales ligadas a la existencia de variedades diferentes en nuestro país y, simultáneamente, producir diversas aplicaciones didácticas (para distintos niveles educativos) y divulgativas. El proyecto parte de estas hipótesis: a) las categorías funcionales constituyen el locus privilegiado de la variación lingüística, determinan las propiedades particulares de las diversas lenguas y cumplen un papel fundamental en la adquisición del lenguaje (Chomsky 1995); b) los procesos de gramaticalización, que afectan tanto a elementos léxicos como a elementos funcionales, son los principales responsables del cambio lingüístico; c) diferencias sutiles en las propiedades formales de los ítems léxicos concretos desencadenan contrastes significativos en el funcionamiento sintáctico de las variedades; d) el contacto de lenguas puede provocar modificaciones en el funcionamiento de las categorías funcionales, a priori sin restricciones gramaticales.
","Instituto de Filología y Literatura Hispánica ""Dr. Amado Alonso""; Facultad de Filosofía y Letras; Universidad de Buenos Aires",2017,2019,http://iflh.institutos.filo.uba.ar/proyecto/categor%C3%ADas-funcionales-en-variedades-del-espa%C3%B1ol-de-la-argentina,20020160100016BA
